State,Area_Name,Unemployment_rate_2021,Unemployment_rate_2022,Med_HH_Income_Percent_of_State_Total_2021,Median_Household_Income_2021
AK,Alaska,6.4,4.0,100.0,78437.0
AK,Aleutians East Borough,2.5,2.0,91.1,71492.0
AK,Aleutians West Census Area,3.8,3.1,109.7,86050.0
AK,Anchorage Borough/municipality,5.9,3.3,109.8,86152.0
AK,Bethel Census Area,13.1,8.8,69.9,54849.0
AK,Bristol Bay Borough,5.6,4.3,112.8,88516.0
AK,Chugach Census Area,2.5,2.9,112.2,88029.0
AK,Copper River Census Area,3.3,9.3,78.1,61288.0
AK,Denali Borough,10.5,6.3,108.7,85251.0
AK,Dillingham Census Area,8.3,5.6,74.4,58389.0
AK,Fairbanks North Star Borough,5.2,3.7,97.9,76754.0
AK,Haines Borough,11.2,6.6,80.5,63155.0
AK,Hoonah-Angoon Census Area,9.3,5.6,72.1,56555.0
AK,Juneau Borough/city,4.8,2.8,114.6,89922.0
AK,Kenai Peninsula Borough,7.3,4.5,90.7,71111.0
AK,Ketchikan Gateway Borough,7.4,3.8,93.4,73260.0
AK,Kodiak Island Borough,6.6,4.3,103.1,80863.0
AK,Kusilvak Census Area,19.5,12.9,48.7,38203.0
AK,Lake and Peninsula Borough,8.7,5.8,65.3,51205.0
AK,Matanuska-Susitna Borough,6.9,4.6,102.2,80164.0
AK,Nome Census Area,9.7,6.9,83.6,65578.0
AK,North Slope Borough,6.5,5.0,121.2,95041.0
AK,Northwest Arctic Borough,11.5,9.0,86.2,67586.0
AK,Petersburg Borough,7.0,5.8,91.6,71878.0
AK,Prince of Wales-Hyder Census Area,8.2,5.5,71.7,56226.0
AK,Prince of Wales-Outer Ketchikan Census Area,,,,
AK,Sitka Borough/city,4.6,2.8,99.8,78248.0
AK,Skagway Municipality,13.6,6.7,83.8,65712.0
AK,Skagway-Hoonah-Angoon Census Area,,,,
AK,Southeast Fairbanks Census Area,6.6,5.2,87.1,68347.0
AK,Valdez-Cordova Census Area,,,,
AK,Wrangell Borough/city,7.5,5.1,82.5,64732.0
AK,Wrangell-Petersburg Census Area,,,,
AK,Yakutat Borough/city,7.1,5.1,93.1,73014.0
AK,Yukon-Koyukuk Census Area,12.3,7.9,57.3,44934.0
AL,Alabama,3.4,2.6,100.0,53990.0
AL,Autauga,2.8,2.3,123.1,66444.0
AL,Baldwin,2.9,2.4,121.6,65658.0
AL,Barbour,5.5,4.1,71.6,38649.0
AL,Bibb,3.4,2.5,89.7,48454.0
AL,Blount,2.4,2.2,105.4,56894.0
AL,Bullock,3.9,2.8,59.3,32027.0
AL,Butler,5.1,3.4,73.1,39442.0
AL,Calhoun,4.0,3.0,89.2,48166.0
AL,Chambers,3.6,2.6,84.2,45447.0
AL,Cherokee,2.5,2.3,85.9,46365.0
AL,Chilton,2.8,2.3,102.1,55142.0
AL,Choctaw,4.3,3.8,75.2,40601.0
AL,Clarke,5.8,5.0,84.2,45447.0
AL,Clay,2.7,2.3,87.1,47036.0
AL,Cleburne,2.6,2.4,92.2,49769.0
AL,Coffee,2.8,2.5,102.0,55052.0
AL,Colbert,3.9,3.0,98.8,53341.0
AL,Conecuh,4.7,3.5,66.0,35621.0
AL,Coosa,3.0,2.5,85.1,45954.0
AL,Covington,3.0,2.6,81.8,44188.0
AL,Crenshaw,3.3,2.6,70.5,38037.0
AL,Cullman,2.3,2.1,101.9,55036.0
AL,Dale,3.1,2.6,92.8,50086.0
AL,Dallas,7.1,5.0,61.4,33159.0
AL,DeKalb,2.5,2.3,83.5,45062.0
AL,Elmore,2.7,2.2,117.0,63147.0
AL,Escambia,4.0,3.1,75.0,40506.0
AL,Etowah,4.0,3.0,85.8,46308.0
AL,Fayette,3.1,2.7,85.4,46122.0
AL,Franklin,2.5,2.3,84.2,45440.0
AL,Geneva,2.8,2.4,80.0,43206.0
AL,Greene,6.5,4.4,56.0,30225.0
AL,Hale,5.5,3.9,77.8,41995.0
AL,Henry,3.2,2.7,104.4,56389.0
AL,Houston,3.3,2.6,90.2,48701.0
AL,Jackson,2.8,2.5,87.0,46998.0
AL,Jefferson,3.5,2.6,102.3,55210.0
AL,Lamar,3.0,2.7,82.0,44265.0
AL,Lauderdale,3.1,2.6,96.7,52222.0
AL,Lawrence,2.9,2.4,102.9,55555.0
AL,Lee,2.8,2.4,100.4,54188.0
AL,Limestone,2.4,2.1,128.2,69207.0
AL,Lowndes,8.7,5.2,68.5,36993.0
AL,Macon,5.8,3.8,65.5,35354.0
AL,Madison,2.6,2.1,145.2,78386.0
AL,Marengo,4.2,3.4,77.9,42048.0
AL,Marion,2.8,2.5,82.7,44636.0
AL,Marshall,2.4,2.1,94.2,50858.0
AL,Mobile,4.6,3.2,92.3,49848.0
AL,Monroe,5.5,4.1,75.9,40997.0
AL,Montgomery,4.7,3.1,93.8,50645.0
AL,Morgan,2.6,2.1,104.4,56340.0
AL,Perry,7.9,5.3,58.4,31522.0
AL,Pickens,4.0,3.3,81.4,43926.0
AL,Pike,3.2,2.7,72.1,38945.0
AL,Randolph,2.7,2.5,85.0,45889.0
AL,Russell,3.0,2.6,83.1,44849.0
AL,Shelby,2.1,1.8,158.3,85457.0
AL,St. Clair,2.6,2.2,116.7,63015.0
AL,Sumter,4.4,3.5,54.6,29490.0
AL,Talladega,4.1,3.1,87.7,47331.0
AL,Tallapoosa,4.0,2.9,87.9,47444.0
AL,Tuscaloosa,3.5,2.5,104.2,56274.0
AL,Walker,3.6,2.8,85.8,46343.0
AL,Washington,4.6,3.6,92.2,49795.0
AL,Wilcox,10.5,7.8,55.7,30071.0
AL,Winston,2.7,2.4,87.4,47176.0
AR,Arkansas,4.1,3.3,100.0,52577.0
AR,Arkansas,3.4,3.3,96.9,50928.0
AR,Ashley,7.3,5.5,83.7,44030.0
AR,Baxter,3.8,3.6,85.8,45116.0
AR,Benton,2.8,2.4,150.2,78974.0
AR,Boone,3.0,2.9,92.6,48700.0
AR,Bradley,4.8,5.0,76.9,40454.0
AR,Calhoun,3.4,3.1,95.1,49977.0
AR,Carroll,3.5,2.9,93.6,49225.0
AR,Chicot,8.5,6.2,66.3,34857.0
AR,Clark,4.8,4.5,89.7,47158.0
AR,Clay,4.0,4.0,78.8,41419.0
AR,Cleburne,4.7,4.2,95.5,50200.0
AR,Cleveland,4.1,3.9,102.1,53705.0
AR,Columbia,5.4,4.4,84.9,44651.0
AR,Conway,4.2,3.7,90.8,47741.0
AR,Craighead,3.3,2.8,99.8,52490.0
AR,Crawford,3.6,3.2,102.8,54065.0
AR,Crittenden,5.5,4.0,83.3,43821.0
AR,Cross,4.4,3.7,86.1,45262.0
AR,Dallas,4.2,4.0,80.7,42442.0
AR,Desha,6.0,5.3,74.3,39042.0
AR,Drew,5.1,4.4,88.6,46572.0
AR,Faulkner,3.5,2.9,109.5,57573.0
AR,Franklin,3.8,3.3,91.0,47834.0
AR,Fulton,3.7,3.4,79.0,41557.0
AR,Garland,4.9,3.8,91.4,48053.0
AR,Grant,3.3,3.1,127.6,67088.0
AR,Greene,3.5,3.3,102.6,53920.0
AR,Hempstead,3.6,3.3,78.5,41281.0
AR,Hot Spring,3.9,3.5,98.3,51662.0
AR,Howard,3.3,3.3,81.3,42733.0
AR,Independence,3.9,3.4,93.1,48957.0
AR,Izard,5.5,5.2,77.6,40788.0
AR,Jackson,5.3,5.0,71.9,37815.0
AR,Jefferson,6.5,5.2,87.7,46100.0
AR,Johnson,4.8,4.1,81.8,43003.0
AR,Lafayette,5.8,4.8,73.8,38777.0
AR,Lawrence,4.3,3.6,84.9,44661.0
AR,Lee,5.7,4.6,56.5,29714.0
AR,Lincoln,4.6,4.5,86.4,45435.0
AR,Little River,4.6,3.9,88.7,46619.0
AR,Logan,4.3,3.8,86.7,45558.0
AR,Lonoke,3.4,2.8,122.9,64633.0
AR,Madison,3.1,2.5,94.5,49691.0
AR,Marion,4.3,3.7,81.6,42892.0
AR,Miller,4.9,3.9,86.4,45450.0
AR,Mississippi,7.1,5.2,78.0,41007.0
AR,Monroe,5.4,4.4,70.6,37113.0
AR,Montgomery,5.0,4.8,78.7,41359.0
AR,Nevada,4.1,3.9,76.6,40283.0
AR,Newton,3.1,3.0,79.5,41823.0
AR,Ouachita,4.0,3.9,89.7,47169.0
AR,Perry,4.2,3.6,97.4,51204.0
AR,Phillips,7.7,6.3,61.7,32419.0
AR,Pike,4.5,3.7,83.1,43710.0
AR,Poinsett,3.9,3.4,81.1,42639.0
AR,Polk,4.5,3.7,82.1,43166.0
AR,Pope,4.1,3.9,89.5,47049.0
AR,Prairie,3.7,3.0,112.9,59367.0
AR,Pulaski,4.9,3.5,101.9,53597.0
AR,Randolph,4.0,3.4,82.7,43484.0
AR,Saline,3.2,2.8,129.5,68107.0
AR,Scott,3.4,2.8,76.0,39974.0
AR,Searcy,4.4,4.5,67.4,35422.0
AR,Sebastian,3.8,3.1,93.5,49170.0
AR,Sevier,4.5,3.9,88.7,46651.0
AR,Sharp,5.0,4.1,74.5,39183.0
AR,St. Francis,6.2,4.9,70.0,36781.0
AR,Stone,5.1,4.2,71.9,37782.0
AR,Union,6.1,4.8,90.0,47315.0
AR,Van Buren,4.9,4.3,75.4,39629.0
AR,Washington,2.9,2.3,122.1,64218.0
AR,White,4.1,3.5,98.3,51660.0
AR,Woodruff,5.1,3.5,71.0,37331.0
AR,Yell,4.1,3.8,92.3,48526.0
AZ,Apache,9.2,7.7,59.5,41002.0
AZ,Arizona,5.1,3.8,100.0,68967.0
AZ,Cochise,5.1,4.4,80.8,55748.0
AZ,Coconino,6.2,4.3,92.6,63829.0
AZ,Gila,5.2,4.2,76.4,52665.0
AZ,Graham,4.3,3.6,76.3,52644.0
AZ,Greenlee,4.1,2.9,103.9,71669.0
AZ,La Paz,5.3,4.7,64.3,44330.0
AZ,Maricopa,4.6,3.3,110.5,76230.0
AZ,Mohave,5.7,4.5,69.8,48169.0
AZ,Navajo,6.6,5.2,71.1,49057.0
AZ,Pima,5.1,3.8,87.9,60604.0
AZ,Pinal,4.9,3.9,102.7,70835.0
AZ,Santa Cruz,8.8,7.5,71.4,49216.0
AZ,Yavapai,4.3,3.5,83.6,57676.0
AZ,Yuma,13.1,12.5,81.2,55991.0
CA,Alameda,6.1,3.3,128.5,108971.0
CA,Alpine,8.2,5.4,103.2,87570.0
CA,Amador,7.0,4.4,80.3,68159.0
CA,Butte,6.9,4.5,74.2,62982.0
CA,Calaveras,5.8,3.6,80.5,68298.0
CA,California,7.3,4.2,100.0,84831.0
CA,Colusa,12.5,11.6,71.6,60725.0
CA,Contra Costa,6.4,3.5,130.4,110595.0
CA,Del Norte,7.6,5.1,56.7,48108.0
CA,El Dorado,5.8,3.4,103.4,87689.0
CA,Fresno,9.1,6.4,74.4,63140.0
CA,Glenn,7.0,5.3,66.9,56741.0
CA,Humboldt,6.3,4.0,63.6,53924.0
CA,Imperial,17.5,14.7,60.1,50970.0
CA,Inyo,6.0,3.7,73.5,62381.0
CA,Kern,9.9,6.9,68.3,57926.0
CA,Kings,9.7,7.0,71.7,60810.0
CA,Lake,7.6,5.0,65.8,55801.0
CA,Lassen,6.1,4.5,67.1,56923.0
CA,Los Angeles,8.9,4.9,91.2,77356.0
CA,Madera,8.8,6.1,71.0,60241.0
CA,Marin,4.5,2.7,139.7,118472.0
CA,Mariposa,7.9,4.5,71.2,60377.0
CA,Mendocino,6.3,4.1,67.8,57516.0
CA,Merced,10.3,7.7,64.5,54703.0
CA,Modoc,7.2,5.5,58.1,49273.0
CA,Mono,6.8,3.7,83.6,70945.0
CA,Monterey,8.3,5.9,96.0,81404.0
CA,Napa,6.1,3.2,111.0,94127.0
CA,Nevada,5.7,3.4,91.0,77220.0
CA,Orange,6.0,3.2,118.1,100210.0
CA,Placer,5.1,3.1,122.1,103588.0
CA,Plumas,9.4,6.5,68.6,58154.0
CA,Riverside,7.3,4.2,92.8,78690.0
CA,Sacramento,6.9,3.9,93.8,79611.0
CA,San Benito,7.3,5.0,112.2,95187.0
CA,San Bernardino,7.4,4.1,87.5,74218.0
CA,San Diego,6.5,3.4,107.0,90756.0
CA,San Francisco/city,5.1,2.5,141.2,119776.0
CA,San Joaquin,8.6,5.2,93.8,79598.0
CA,San Luis Obispo,5.3,3.0,93.9,79688.0
CA,San Mateo,4.6,2.4,154.6,131151.0
CA,Santa Barbara,5.8,3.5,98.1,83185.0
CA,Santa Clara,4.8,2.6,166.4,141161.0
CA,Santa Cruz,6.9,4.8,106.5,90370.0
CA,Shasta,6.9,4.6,70.9,60187.0
CA,Sierra,6.1,4.2,71.5,60659.0
CA,Siskiyou,8.1,5.7,59.0,50069.0
CA,Solano,7.4,4.2,103.0,87348.0
CA,Sonoma,5.5,3.1,109.6,92999.0
CA,Stanislaus,8.3,5.4,86.2,73151.0
CA,Sutter,8.9,6.6,74.6,63246.0
CA,Tehama,7.2,4.8,63.2,53654.0
CA,Trinity,6.3,4.6,53.6,45508.0
CA,Tulare,10.6,8.2,67.7,57398.0
CA,Tuolumne,7.3,4.5,72.4,61396.0
CA,Ventura,6.2,3.7,113.0,95819.0
CA,Yolo,5.9,4.0,89.9,76247.0
CA,Yuba,8.4,5.5,71.6,60764.0
CO,Adams,6.2,3.4,98.3,80831.0
CO,Alamosa,6.0,3.6,62.0,51009.0
CO,Arapahoe,5.8,3.1,102.5,84308.0
CO,Archuleta,5.3,3.2,82.7,68025.0
CO,Baca,2.3,1.7,53.8,44257.0
CO,Bent,6.6,3.6,45.2,37185.0
CO,Boulder,4.4,2.5,109.8,90327.0
CO,Broomfield/city,4.6,2.6,129.4,106413.0
CO,Chaffee,4.4,2.7,80.2,65987.0
CO,Cheyenne,2.4,1.9,71.2,58544.0
CO,Clear Creek,5.5,2.9,95.2,78312.0
CO,Colorado,5.4,3.0,100.0,82228.0
CO,Conejos,5.1,3.2,55.9,45931.0
CO,Costilla,6.4,4.1,43.1,35416.0
CO,Crowley,5.6,3.8,46.3,38049.0
CO,Custer,4.3,2.9,77.2,63505.0
CO,Delta,5.7,3.6,63.7,52403.0
CO,Denver/city,5.9,3.1,98.8,81262.0
CO,Dolores,5.0,3.0,67.1,55157.0
CO,Douglas,4.1,2.5,157.9,129839.0
CO,Eagle,4.8,2.6,115.4,94928.0
CO,El Paso,5.7,3.3,96.2,79094.0
CO,Elbert,3.9,2.4,139.7,114853.0
CO,Fremont,7.5,4.7,62.9,51732.0
CO,Garfield,5.1,3.0,96.0,78940.0
CO,Gilpin,6.1,2.7,100.2,82370.0
CO,Grand,4.6,2.7,95.8,78779.0
CO,Gunnison,4.0,2.5,77.7,63872.0
CO,Hinsdale,3.8,2.5,80.5,66213.0
CO,Huerfano,8.6,6.1,56.9,46798.0
CO,Jackson,3.6,2.1,67.5,55535.0
CO,Jefferson,5.1,2.8,114.8,94401.0
CO,Kiowa,3.5,1.8,74.7,61430.0
CO,Kit Carson,3.2,1.9,68.4,56272.0
CO,La Plata,5.5,3.0,90.9,74774.0
CO,Lake,4.8,2.6,78.3,64416.0
CO,Larimer,4.7,2.7,95.7,78681.0
